OBJECTID,EO_ID,ELCODE,Group,EO_NUM,SNAME,SCOMNAME,ELSUBID,ID_CONFIRM,LASTOBS,YEAR,SURVEYDATE,EORANK,GRANK,SRANK,USESA,SPROT,PBSSTATUS,EO_TRACK
19,12605,ABNGA04010,Birds,18,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/17/2002,2002,2012,X?,G5,"S5B,S4N,S4M",,,,Y
20,12920,ABNGA04010,Birds,502,Ardea herodias,Great Blue Heron,10881,Y - Yes,1943,1943,4/30/1985,F,G5,"S5B,S4N,S4M",,,,Y
21,10522,ABNGA04010,Birds,511,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/23/1987,1987,5/4/2017,X?,G5,"S5B,S4N,S4M",,,,Y
22,10286,ABNGA04010,Birds,1,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/22/1983,1983,4/12/2017,E,G5,"S5B,S4N,S4M",,,,Y
23,10415,ABNGA04010,Birds,14,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984,1984,4/12/2017,E,G5,"S5B,S4N,S4M",,,,Y
24,11007,ABNGA04010,Birds,16,Ardea herodias,Great Blue Heron,10881,Y - Yes,1990----,1990,2002------,E,G5,"S5B,S4N,S4M",,,,Y
25,8944,ABNGA04010,Birds,505,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/6/1983,1983,5/3/2017,X?,G5,"S5B,S4N,S4M",,,,Y
26,9143,ABNGA04010,Birds,503,Ardea herodias,Great Blue Heron,10881,Y - Yes,NA,NA,4/24/2017,H,G5,"S5B,S4N,S4M",,,,Y
27,7438,ABNGA04010,Birds,516,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/4/2017,2017,5/4/2017,E,G5,"S5B,S4N,S4M",,,,Y
28,7412,ABNGA04010,Birds,22,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/22/1992,1992,,E,G5,"S5B,S4N,S4M",,,,Y
29,8593,ABNGA04010,Birds,522,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/22/2002,2002,5/10/2017,E,G5,"S5B,S4N,S4M",,,,Y
30,6691,ABNGA04010,Birds,523,Ardea herodias,Great Blue Heron,10881,Y - Yes,2002,2002,5/10/2017,X,G5,"S5B,S4N,S4M",,,,Y
31,7131,ABNGA04010,Birds,517,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/17/2017,2017,4/17/2017,C,G5,"S5B,S4N,S4M",,,,Y
32,4471,ABNGA04010,Birds,514,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/14/1989,1989,5/9/2017,H,G5,"S5B,S4N,S4M",,,,Y
33,4602,ABNGA04010,Birds,6,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984------,1984,7/6/2007,E,G5,"S5B,S4N,S4M",,,,Y
34,5331,ABNGA04010,Birds,504,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/22/1987,1987,5/11/2017,X?,G5,"S5B,S4N,S4M",,,,Y
35,3440,ABNGA04010,Birds,23,Ardea herodias,Great Blue Heron,10881,Y - Yes,5/8/2017,2017,5/8/2017,E,G5,"S5B,S4N,S4M",,,,Y
36,3622,ABNGA04010,Birds,2,Ardea herodias,Great Blue Heron,10881,Y - Yes,1974-06---,1974,,H,G5,"S5B,S4N,S4M",,,,Y
37,4193,ABNGA04010,Birds,12,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984------,1984,,E,G5,"S5B,S4N,S4M",,,,Y
38,1807,ABNGA04010,Birds,17,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/14/1987,1987,2012,E,G5,"S5B,S4N,S4M",,,,Y
39,1411,ABNGA04010,Birds,9,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984------,1984,,E,G5,"S5B,S4N,S4M",,,,Y
40,1410,ABNGA04010,Birds,10,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984,1984,4/10/2017,E,G5,"S5B,S4N,S4M",,,,Y
41,2673,ABNGA04010,Birds,7,Ardea herodias,Great Blue Heron,10881,Y - Yes,1984,1984,4/28/1987,E,G5,"S5B,S4N,S4M",,,,Y
42,2622,ABNGA04010,Birds,4,Ardea herodias,Great Blue Heron,10881,Y - Yes,7/20/1991,1991,7/20/1994,E,G5,"S5B,S4N,S4M",,,,Y
43,937,ABNGA04010,Birds,510,Ardea herodias,Great Blue Heron,10881,Y - Yes,1986,1986,5/3/2017,X?,G5,"S5B,S4N,S4M",,,,Y
44,933,ABNGA04010,Birds,509,Ardea herodias,Great Blue Heron,10881,Y - Yes,4/29/1987,1987,NONE,C,G5,"S5B,S4N,S4M",,,,Y
45,777,ABNGA04010,Birds,501,Ardea herodias,Great Blue Heron,10881,Y - Yes,1943,1943,5/8/2014,H,G5,"S5B,S4N,S4M",,,,Y
46,4799,ABPBJ18100,Birds,504,Catharus ustulatus,Swainson's Thrush,11124,Y - Yes,1994,1994,1994,E,G5,"S3B,S4M",,,CR,Y
47,170,ABPBJ18100,Birds,501,Catharus ustulatus,Swainson's Thrush,11124,Y - Yes,7/16/2008,2008,7/16/2008,B,G5,"S3B,S4M",,,CR,Y
48,13855,ABPBJ18100,Birds,502,Catharus ustulatus,Swainson's Thrush,11124,Y - Yes,7/24/2008,2008,7/24/2008,E,G5,"S3B,S4M",,,CR,Y
49,12611,AMAJF01040,Mammals,502,Martes americana,American Marten,11497,Y - Yes,1963-SP,1963,NONE,H,G5,SNA,,,PX,N
50,10235,AMAJF01040,Mammals,503,Martes americana,American Marten,11497,Y - Yes,9/12/1957,1957,NONE,H,G5,SNA,,,PX,N
51,203,AMAJF01040,Mammals,501,Martes americana,American Marten,11497,Y - Yes,3/4/1901,1901,NONE,H,G5,SNA,,,PX,N
52,13928,AFBAA01060,Fish,2,Ichthyomyzon unicuspis,Silver Lamprey,11249,Y - Yes,1950-07---,1950,,H,G5,SU,,,PE,Y
53,9727,AFBAA01060,Fish,3,Ichthyomyzon unicuspis,Silver Lamprey,11249,Y - Yes,5/24/1987,1987,5/24/1987,E,G5,SU,,,PE,Y
54,1395,AFBAA01060,Fish,1,Ichthyomyzon unicuspis,Silver Lamprey,11249,Y - Yes,5/20/1935,1935,,H,G5,SU,,,PE,Y
55,13524,AFCJC02030,Fish,1,Catostomus catostomus,Longnose Sucker,11350,Y - Yes,6/16/2005,2005,6/16/2005,E,G5,S1,,PE,PE,Y
56,13770,AFCJC02030,Fish,6,Catostomus catostomus,Longnose Sucker,11350,Y - Yes,7/21/2000,2000,7/21/2000,E,G5,S1,,PE,PE,Y
57,7780,AFCJC02030,Fish,4,Catostomus catostomus,Longnose Sucker,11350,Y - Yes,7/1/2004,2004,7/1/2004,E,G5,S1,,PE,PE,Y
58,1232,AFCJC02030,Fish,5,Catostomus catostomus,Longnose Sucker,11350,Y - Yes,10/14/1998,1998,10/14/1998,E,G5,S1,,PE,PE,Y
59,928,AFCJC02030,Fish,2,Catostomus catostomus,Longnose Sucker,11350,Y - Yes,5/15/2007,2007,5/15/2007,E,G5,S1,,PE,PE,Y
60,3539,ABPBX07010,Birds,505,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1955,1955,NONE,H,G5,"S3B,S2M",,,CR,Y
61,14200,ABPBX07010,Birds,506,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1955-SU,1955,NONE,H,G5,"S3B,S2M",,,CR,Y
62,11393,ABPBX07010,Birds,501,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,7/2/1924,1924,NONE,H,G5,"S3B,S2M",,,CR,Y
63,8907,ABPBX07010,Birds,504,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,6/20/1954,1954,NONE,H,G5,"S3B,S2M",,,CR,Y
64,9589,ABPBX07010,Birds,2,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,5/17/1991,1991,5/17/1991,E,G5,"S3B,S2M",,,CR,Y
65,7620,ABPBX07010,Birds,510,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,5/28/2009,2009,5/28/2009,B,G5,"S3B,S2M",,,CR,Y
66,7619,ABPBX07010,Birds,509,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1981-06,1981,1981-06,E,G5,"S3B,S2M",,,CR,Y
67,8476,ABPBX07010,Birds,502,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,6/15/1957,1957,NONE,H,G5,"S3B,S2M",,,CR,Y
68,4892,ABPBX07010,Birds,3,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,7/3/2009,2009,2014-08---,CD,G5,"S3B,S2M",,,CR,Y
69,5757,ABPBX07010,Birds,508,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1957,1957,NONE,H,G5,"S3B,S2M",,,CR,Y
70,5128,ABPBX07010,Birds,511,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1994,1994,1994,E,G5,"S3B,S2M",,,CR,Y
71,2520,ABPBX07010,Birds,503,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,7/14/1953,1953,NONE,H,G5,"S3B,S2M",,,CR,Y
72,959,ABPBX07010,Birds,507,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,1957,1957,NONE,H,G5,"S3B,S2M",,,CR,Y
73,631,ABPBX07010,Birds,1,Protonotaria citrea,Prothonotary Warbler,11172,Y - Yes,7/8/1985,1985,,E,G5,"S3B,S2M",,,CR,Y
74,2564,ABNNM10020,Birds,1,Chlidonias niger,Black Tern,11036,Y - Yes,1997,1997,7/12/1983,B,G4G5,"S1B,S3M",,PE,PE,Y
75,13394,ABNNM10020,Birds,5,Chlidonias niger,Black Tern,11036,Y - Yes,6/4/2004,2004,6/4/2004,C,G4G5,"S1B,S3M",,PE,PE,Y
76,9886,ABNNM10020,Birds,3,Chlidonias niger,Black Tern,11036,Y - Yes,1958------,1958,,H,G4G5,"S1B,S3M",,PE,PE,Y
77,5937,ABNNM10020,Birds,2,Chlidonias niger,Black Tern,11036,Y - Yes,5/25/1936,1936,,H,G4G5,"S1B,S3M",,PE,PE,Y
78,10793,ABNKC11011,Birds,1,Circus cyaneus,Northern Harrier,10940,Y - Yes,7/19/2008,2008,7/19/2008,E,G5,"S2B,S3M",,PT,PT,Y
79,10701,ABNKC11011,Birds,501,Circus cyaneus,Northern Harrier,10940,Y - Yes,7/17/1995,1995,7/17/1995,E,G5,"S2B,S3M",,PT,PT,Y
80,2324,ABNKC11011,Birds,2,Circus cyaneus,Northern Harrier,10940,Y - Yes,6/29/2016,2016,6/30/2012,E,G5,"S2B,S3M",,PT,PT,Y
81,13666,ABNKC11011,Birds,511,Circus cyaneus,Northern Harrier,10940,Y - Yes,7/29/1997,1997,7/29/1997,E,G5,"S2B,S3M",,PT,PT,Y
82,13103,ABNKC11011,Birds,505,Circus cyaneus,Northern Harrier,10940,Y - Yes,1950,1950,NONE,H,G5,"S2B,S3M",,PT,PT,Y
83,10569,ABNKC11011,Birds,514,Circus cyaneus,Northern Harrier,10940,Y - Yes,6/26/2005,2005,6/26/2005,B,G5,"S2B,S3M",,PT,PT,Y
84,11288,ABNKC11011,Birds,503,Circus cyaneus,Northern Harrier,10940,Y - Yes,6/11/1947,1947,NONE,H,G5,"S2B,S3M",,PT,PT,Y
85,9285,ABNKC11011,Birds,508,Circus cyaneus,Northern Harrier,10940,Y - Yes,7/2/1985,1985,7/2/1985,A,G5,"S2B,S3M",,PT,PT,Y
86,7233,ABNKC11011,Birds,510,Circus cyaneus,Northern Harrier,10940,Y - Yes,5/8/1999,1999,5/8/1999,E,G5,"S2B,S3M",,PT,PT,Y
87,7232,ABNKC11011,Birds,509,Circus cyaneus,Northern Harrier,10940,Y - Yes,1985-06,1985,NONE,B?,G5,"S2B,S3M",,PT,PT,Y
88,8157,ABNKC11011,Birds,506,Circus cyaneus,Northern Harrier,10940,Y - Yes,1889,1889,NONE,H,G5,"S2B,S3M",,PT,PT,Y
89,3553,ABNKC11011,Birds,512,Circus cyaneus,Northern Harrier,10940,Y - Yes,7/16/1997,1997,7/16/1997,E,G5,"S2B,S3M",,PT,PT,Y
90,3944,ABNKC11011,Birds,502,Circus cyaneus,Northern Harrier,10940,Y - Yes,19---EARLY,19--,,H,G5,"S2B,S3M",,PT,PT,Y
91,2754,ABNKC11011,Birds,507,Circus cyaneus,Northern Harrier,10940,Y - Yes,1991,1991,1991,E,G5,"S2B,S3M",,PT,PT,Y
92,13826,AFCJC07010,Fish,2,Ictiobus bubalus,Smallmouth Buffalo,11356,Y - Yes,1880------,1880,,H,G5,S5,,DL,DL,Y
93,8640,AFCJC07010,Fish,5,Ictiobus bubalus,Smallmouth Buffalo,11356,Y - Yes,1983------,1983,1985-08-??,E,G5,S5,,DL,DL,Y
94,7781,AFCJC07010,Fish,3,Ictiobus bubalus,Smallmouth Buffalo,11356,Y - Yes,1925-12---,1925,,H,G5,S5,,DL,DL,Y
95,1560,AFCJC07010,Fish,4,Ictiobus bubalus,Smallmouth Buffalo,11356,Y - Yes,1985-07---,1985,,E,G5,S5,,DL,DL,Y
96,2191,AFCJC07010,Fish,1,Ictiobus bubalus,Smallmouth Buffalo,11356,Y - Yes,5/3/1978,1978,5/3/1978,E,G5,S5,,DL,DL,Y
97,11158,AFCJB52080,Fish,14,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,3/16/1935,1935,,H,G5,S2,,PE,PE,Y
98,5755,AFCJB52080,Fish,16,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,1985------,1985,,E,G5,S2,,PE,PE,Y
99,14305,AFCJB52080,Fish,6,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,6/13/1935,1935,,H,G5,S2,,PE,PE,Y
100,12007,AFCJB52080,Fish,12,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,6/8/1938,1938,,H,G5,S2,,PE,PE,Y
101,12763,AFCJB52080,Fish,1,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,198-------,198-,198?-??-??,E,G5,S2,,PE,PE,Y
102,10686,AFCJB52080,Fish,15,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,7/7/2002,2002,7/7/2002,B,G5,S2,,PE,PE,Y
103,8990,AFCJB52080,Fish,10,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,5/24/1939,1939,,H,G5,S2,,PE,PE,Y
104,8989,AFCJB52080,Fish,9,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,8/23/1938,1938,,H,G5,S2,,PE,PE,Y
105,8486,AFCJB52080,Fish,2,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,6/26/1975,1975,,E,G5,S2,,PE,PE,Y
106,6999,AFCJB52080,Fish,11,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,6/8/1938,1938,,H,G5,S2,,PE,PE,Y
107,4463,AFCJB52080,Fish,7,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,5/17/1935,1935,,H,G5,S2,,PE,PE,Y
108,1815,AFCJB52080,Fish,13,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,4/28/1934,1934,,H,G5,S2,,PE,PE,Y
109,2777,AFCJB52080,Fish,3,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,8/19/2003,2003,8/19/2003,C,G5,S2,,PE,PE,Y
110,615,AFCJB52080,Fish,5,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,1951------,1951,,H,G5,S2,,PE,PE,Y
111,306,AFCJB52080,Fish,8,Lythrurus umbratilis,Redfin Shiner,11341,Y - Yes,9/29/1938,1938,,H,G5,S2,,PE,PE,Y
112,11382,AMABA01210,Mammals,1,Sorex dispar,Long-tailed Shrew,11439,Y - Yes,1988,1988,,E,G4,S4,,,,Y
113,9313,AMABA01210,Mammals,501,Sorex dispar,Long-tailed Shrew,11439,Y - Yes,6/20/2001,2001,6/20/2001,E,G4,S4,,,,Y
114,5992,AMABA01210,Mammals,3,Sorex dispar,Long-tailed Shrew,11439,Y - Yes,1994,1994,,E,G4,S4,,,,Y
115,3200,AMABA01210,Mammals,2,Sorex dispar,Long-tailed Shrew,11439,Y - Yes,1994,1994,,E,G4,S4,,,,Y
116,5483,AFCJB28100,Fish,1,Notropis ariommus,Popeye Shiner,11311,Y - Yes,1853------,1853,,H,G3,SX,,,PX,Y
117,13762,ABNNF18030,Birds,501,Gallinago delicata,Wilson's Snipe,11009,Y - Yes,5/8/1999,1999,5/8/1999,E,G5,"S3B,S4N,S3M",,,CR,Y
118,10025,ABNNF18030,Birds,504,Gallinago delicata,Wilson's Snipe,11009,Y - Yes,1994,1994,1994,E,G5,"S3B,S4N,S3M",,,CR,Y
119,6321,ABNNF18030,Birds,502,Gallinago delicata,Wilson's Snipe,11009,Y - Yes,1994,1994,1994,E,G5,"S3B,S4N,S3M",,,CR,Y
120,5241,ABNNF18030,Birds,503,Gallinago delicata,Wilson's Snipe,11009,Y - Yes,1994,1994,1994,E,G5,"S3B,S4N,S3M",,,CR,Y
121,4084,AFCQC02800,Fish,4,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,8/29/2003,2003,8/29/2003,B,G3G4,S3S4,,DL,PT,Y
122,13454,AFCQC02800,Fish,7,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,7/5/2005,2005,7/5/2005,E,G3G4,S3S4,,DL,PT,Y
123,14564,AFCQC02800,Fish,2,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,7/2/1985,1985,7/2/1985,B,G3G4,S3S4,,DL,PT,Y
124,14237,AFCQC02800,Fish,13,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,7/17/2003,2003,7/17/2003,A,G3G4,S3S4,,DL,PT,Y
125,11789,AFCQC02800,Fish,5,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,6/12/1985,1985,6/12/1985,C,G3G4,S3S4,,DL,PT,Y
126,8829,AFCQC02800,Fish,8,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,8/9/2005,2005,8/9/2005,A,G3G4,S3S4,,DL,PT,Y
127,9808,AFCQC02800,Fish,3,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,9/25/1977,1977,,E,G3G4,S3S4,,DL,PT,Y
128,7634,AFCQC02800,Fish,11,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,6/18/2001,2001,6/18/2001,B,G3G4,S3S4,,DL,PT,Y
129,4740,AFCQC02800,Fish,14,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,6/25/2003,2003,6/25/2003,E,G3G4,S3S4,,DL,PT,Y
130,4650,AFCQC02800,Fish,9,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,6/19/1985,1985,6/19/1985,E,G3G4,S3S4,,DL,PT,Y
131,4649,AFCQC02800,Fish,10,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,7/4/1985,1985,7/4/1985,C,G3G4,S3S4,,DL,PT,Y
132,1928,AFCQC02800,Fish,1,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,6/2/2008,2008,6/2/2008,AB,G3G4,S3S4,,DL,PT,Y
133,2805,AFCQC02800,Fish,6,Etheostoma tippecanoe,Tippecanoe Darter,11418,Y - Yes,7/4/1985,1985,7/4/1985,E,G3G4,S3S4,,DL,PT,Y
134,11329,AFCQC04060,Fish,11,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,BC,G4,S5,,DL,DL,Y
135,5762,AFCQC04060,Fish,15,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,E,G4,S5,,DL,DL,Y
136,7546,AFCQC04060,Fish,6,Percina copelandi,Channel Darter,11423,Y - Yes,8/27/1968,1968,198?-??-??-,H,G4,S5,,DL,DL,Y
137,8999,AFCQC04060,Fish,19,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,E,G4,S5,,DL,DL,Y
138,3431,AFCQC04060,Fish,17,Percina copelandi,Channel Darter,11423,Y - Yes,8/27/2009,2009,8/27/2009,B,G4,S5,,DL,DL,Y
139,2573,AFCQC04060,Fish,2,Percina copelandi,Channel Darter,11423,Y - Yes,7/14/1975,1975,,E,G4,S5,,DL,DL,Y
140,13581,AFCQC04060,Fish,22,Percina copelandi,Channel Darter,11423,Y - Yes,1988------,1988,1988-??-??,E,G4,S5,,DL,DL,Y
141,13820,AFCQC04060,Fish,5,Percina copelandi,Channel Darter,11423,Y - Yes,7/16/1973,1973,,H,G4,S5,,DL,DL,Y
142,14066,AFCQC04060,Fish,24,Percina copelandi,Channel Darter,11423,Y - Yes,7/13/2000,2000,7/13/2000,E,G4,S5,,DL,DL,Y
143,12772,AFCQC04060,Fish,3,Percina copelandi,Channel Darter,11423,Y - Yes,7/13/1975,1975,,E,G4,S5,,DL,DL,Y
144,10589,AFCQC04060,Fish,8,Percina copelandi,Channel Darter,11423,Y - Yes,NA,NA,,H,G4,S5,,DL,DL,Y
145,11184,AFCQC04060,Fish,16,Percina copelandi,Channel Darter,11423,Y - Yes,5/6/2005,2005,5/6/2005,E,G4,S5,,DL,DL,Y
146,9000,AFCQC04060,Fish,20,Percina copelandi,Channel Darter,11423,Y - Yes,7/5/1985,1985,7/5/1985,BC,G4,S5,,DL,DL,Y
147,8303,AFCQC04060,Fish,1,Percina copelandi,Channel Darter,11423,Y - Yes,1971-08---,1971,,H,G4,S5,,DL,DL,Y
148,8190,AFCQC04060,Fish,14,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,B,G4,S5,,DL,DL,Y
149,6689,AFCQC04060,Fish,10,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,B,G4,S5,,DL,DL,Y
150,6688,AFCQC04060,Fish,9,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,E,G4,S5,,DL,DL,Y
151,5366,AFCQC04060,Fish,21,Percina copelandi,Channel Darter,11423,Y - Yes,1988------,1988,1988-??-??,E,G4,S5,,DL,DL,Y
152,1536,AFCQC04060,Fish,18,Percina copelandi,Channel Darter,11423,Y - Yes,5/6/2005,2005,5/6/2005,B,G4,S5,,DL,DL,Y
153,2166,AFCQC04060,Fish,12,Percina copelandi,Channel Darter,11423,Y - Yes,198-------,198-,198?-??-??,E,G4,S5,,DL,DL,Y
154,1256,AFCQC04060,Fish,13,Percina copelandi,Channel Darter,11423,Y - Yes,1985------,1985,1985-??-??,B,G4,S5,,DL,DL,Y
155,1220,AFCQC04060,Fish,4,Percina copelandi,Channel Darter,11423,Y - Yes,7/10/1975,1975,,E,G4,S5,,DL,DL,Y
156,638,AFCQC04060,Fish,23,Percina copelandi,Channel Darter,11423,Y - Yes,1983------,1983,1985-08-??,E,G4,S5,,DL,DL,Y
157,12511,ABNKA01010,Birds,506,Coragyps atratus,Black Vulture,10934,Y - Yes,3/18/1987,1987,3/18/1987,A,G5,S4B,,,,N
158,10362,ABNKA01010,Birds,502,Coragyps atratus,Black Vulture,10934,Y - Yes,1970,1970,NONE,H,G5,S4B,,,,N
159,10952,ABNKA01010,Birds,504,Coragyps atratus,Black Vulture,10934,Y - Yes,1984,1984,5/2/1996,B,G5,S4B,,,,N
160,10129,ABNKA01010,Birds,507,Coragyps atratus,Black Vulture,10934,Y - Yes,5/14/1995,1995,5/14/1995,E,G5,S4B,,,,N
161,7902,ABNKA01010,Birds,509,Coragyps atratus,Black Vulture,10934,Y - Yes,5/26/1996,1996,5/26/1996,E,G5,S4B,,,,N
162,6482,ABNKA01010,Birds,503,Coragyps atratus,Black Vulture,10934,Y - Yes,1983-06,1983,NONE,E,G5,S4B,,,,N
163,3879,ABNKA01010,Birds,508,Coragyps atratus,Black Vulture,10934,Y - Yes,6/14/1995,1995,6/14/1995,B,G5,S4B,,,,N
164,1756,ABNKA01010,Birds,505,Coragyps atratus,Black Vulture,10934,Y - Yes,5/12/1985,1985,NONE,E,G5,S4B,,,,N
165,427,ABNKA01010,Birds,501,Coragyps atratus,Black Vulture,10934,Y - Yes,1952-04,1952,NONE,H,G5,S4B,,,,N
166,12644,ABPBG10010,Birds,4,Cistothorus platensis,Sedge Wren,11114,Y - Yes,1937------,1937,,H,G5,"S1B,S1M",,PE,PE,Y
167,13860,ABPBG10010,Birds,501,Cistothorus platensis,Sedge Wren,11114,Y - Yes,6/11/1935,1935,NONE,H,G5,"S1B,S1M",,PE,PE,Y
